"title","icon","rating","tagline","titles"
"Panda Language Translate","https://apps.shopifycdn.com/listing_images/269cb5edd45c48ab16a803a7b07dce04/icon/36b21b3853af369a39d616f6734bb2d2.png?height=84&width=84",4.7,"Translate your store into multiple languages","Panda Language Translate	(4.7)"
"Instant Brand Page","https://apps.shopifycdn.com/listing_images/51d2df8200c7aafa9d3eadc49ea94956/icon/add8c27b0846ae5c0a0400cd0dae91a7.png?height=84&width=84",4.9,"A-Z Brand Index Page and Favourites Slider","Instant Brand Page	(4.9)"
"FAQ Accordion | Help Center","https://apps.shopifycdn.com/listing_images/86cf5916c8de3c01476533ab61baf25d/icon/4c2bf2bc0e911a693fcdd35b66921521.jpg?height=84&quality=90&width=84",4.5,"FAQ page, FAQ accordion menu for product Info & refund policy","FAQ Accordion | Help Center	(4.5)"
"Promote Me | Many apps in one","https://apps.shopifycdn.com/listing_images/5dc3c3ba140b1f735fe792653feb2133/icon/253fad24771b7d55b24c63f03e5ec1d2.jpg?height=84&quality=90&width=84",4.9,"Spin Wheel,Currency Converter,Quick ATC Buttons & 18+ apps...","Promote Me | Many apps in one	(4.9)"
"Instalify","https://apps.shopifycdn.com/listing_images/737edc1c4da1d8ffe56fd7aa63d6d33f/icon/8590bbcbcabcd3f1229448f5a51607c6.png?height=84&width=84",0,"Supercharge Your Mobile App Installs","Instalify	(0)"
"EASY product feed","https://apps.shopifycdn.com/listing_images/4a7205fead54bc4b657e0abad2a27ede/icon/7c10fb9a501007ad7e61a07a4bdc9972.jpg?height=84&quality=90&width=84",5,"Get your products listed on Google Shopping the EASY way!","EASY product feed	(5)"
"PosBill Connect","https://apps.shopifycdn.com/listing_images/e493022ed75ba9d3f628ab71c9fe4a9a/icon/4443b25d84d52218bd54189606a1f9b6.png?height=84&width=84",0,"Connect your Webshop to the solutions of PosBill.","PosBill Connect	(0)"
"Bulk Fulfill","https://apps.shopifycdn.com/listing_images/d171d63c2b5599b283411464e6a6c9b3/icon/ef13e09d7e1d839c134b475b691c0fca.png?height=84&width=84",4.9,"Reduce wasted time - Automatically sync your tracking numbers","Bulk Fulfill	(4.9)"
"Show Price in BTC","https://apps.shopifycdn.com/listing_images/3da5fecee6b09fbd686a867bae687469/icon/92cfa239ff423e027fb9a9b500fa5c19.png?height=84&width=84",5,"A better currency converter app. Premium features for free!","Show Price in BTC	(5)"
"POKY ‑ Product Importer","https://apps.shopifycdn.com/listing_images/6295ec821397bdc24829d6bf77f9582b/icon/fa1ea63c8b493e97cc40dcf9e62057ef.png?height=84&width=84",4.9,"Copy / Import products from any Shop store with a single click","POKY ‑ Product Importer	(4.9)"
"shopping for note","https://apps.shopifycdn.com/listing_images/712d3ec63fc224bf177c17a2ded01211/icon/1d2019dd2501b710ff9b335e07221a13.png?height=84&width=84",0,"商品URLをnoteの記事内に貼ると商品カードがリッチ表示可能になります。コンテンツマーケティングに最適","shopping for note	(0)"
"Actindo Unified Commerce Suite","https://apps.shopifycdn.com/listing_images/bff01ed71ab3d20b3be39ba8eb1f0e01/icon/ae4fdb7c8b115f0c2769a3b956a54ae6.png?height=84&width=84",0,"Omni-Channel, Data Hub & Enterprise Commerce ERP Plattform","Actindo Unified Commerce Suite	(0)"
